父件预入仓库	父件商品	生产数量	成品率%	子件预出仓库	子件商品	生产数量	子件版本号	计量单位	需用数量	固定损耗数量
装配成品仓	C673装饰件总成-慕夜黑	1	100.0000%	外购半成品仓	C673侧围装饰件-慕夜黑	1		PC	1	0
装配成品仓	C673装饰件总成-慕夜黑	1	100.0000%	外购半成品仓	C673开关装饰件	1		PC	1	0
装配成品仓	C673装饰件总成-热浪橙	1	100.0000%	外购半成品仓	C673开关装饰件	1		PC	1	0
装配成品仓	C673装饰件总成-热浪橙	1	100.0000%	外购半成品仓	C673侧围装饰件-热浪橙	1		PC	1	0
装配成品仓	C236 装饰件总成-流沙黄	1	100.0000%	外购半成品仓	C236 电镀装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-流沙黄	1	100.0000%	外购半成品仓	C236 喷漆装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-流沙黄	1	100.0000%	外购半成品仓	C236 侧围装饰件-流沙黄	1		PC	1	0
装配成品仓	C385装饰件总成-慕夜黑	1	100.0000%	外购半成品仓	C673开关装饰件	1		PC	1	0
装配成品仓	C385装饰件总成-慕夜黑	1	100.0000%	外购半成品仓	C385侧围装饰件-慕夜黑	1		PC	1	0
装配成品仓	C673装饰件总成-厘米色	1	100.0000%	外购半成品仓	C673开关装饰件	1		PC	1	0
装配成品仓	C673装饰件总成-厘米色	1	100.0000%	外购半成品仓	C673侧围装饰件-厘米色	1		PC	1	0
装配成品仓	C236 装饰件总成-淡云灰	1	100.0000%	外购半成品仓	C236 电镀装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-淡云灰	1	100.0000%	外购半成品仓	C236 喷漆装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-淡云灰	1	100.0000%	外购半成品仓	C236 侧围装饰件-淡云灰	1		PC	1	0
装配成品仓	C236 装饰件总成-薄雾绿	1	100.0000%	外购半成品仓	C236 电镀装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-薄雾绿	1	100.0000%	外购半成品仓	C236 喷漆装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-薄雾绿	1	100.0000%	外购半成品仓	C236 侧围装饰件-薄雾绿	1		PC	1	0
装配成品仓	C236 装饰件总成-赤缇红	1	100.0000%	外购半成品仓	C236 电镀装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-赤缇红	1	100.0000%	外购半成品仓	C236 喷漆装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-赤缇红	1	100.0000%	外购半成品仓	C236 侧围装饰件-赤缇红	1		PC	1	0
装配成品仓	C236 装饰件总成-烟灰色	1	100.0000%	外购半成品仓	C236 电镀装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-烟灰色	1	100.0000%	外购半成品仓	C236 喷漆装饰件	1		PC	1	0
装配成品仓	C236 装饰件总成-烟灰色	1	100.0000%	外购半成品仓	C236 侧围装饰件-烟灰色	1		PC	1	0
