商品编码,商品名称,规格型号,商品类型,商品分类,默认仓库
303001,C673开关装饰件,691220,实物,电镀件,外购半成品仓
302001,C673侧围装饰件-慕夜黑,691222,实物,注塑件,外购半成品仓
302002,C673侧围装饰件-热浪橙,691236,实物,注塑件,外购半成品仓
302003,C673侧围装饰件-厘米色,691593,实物,注塑件,外购半成品仓
303002,C673 EU 开关装饰件-3价,691804,实物,电镀件,外购半成品仓
302004,C673侧围装饰件-量子绿,691827,实物,注塑件,外购半成品仓
303003,C385开关装饰件-黑铬,691811,实物,电镀件,外购半成品仓
303004,C236 电镀装饰件,691458,实物,电镀件,外购半成品仓
304001,C236 喷漆装饰件,691460,实物,喷漆件,外购半成品仓
302005,C236 侧围装饰件-淡云灰,691461,实物,注塑件,外购半成品仓
302006,C236 侧围装饰件-薄雾绿,691574,实物,注塑件,外购半成品仓
302007,C236 侧围装饰件-赤缇红,691576,实物,注塑件,外购半成品仓
302008,C236 侧围装饰件-流沙黄,691578,实物,注塑件,外购半成品仓
302009,C236 侧围装饰件-烟灰色,691779,实物,注塑件,外购半成品仓
303005,C236电镀装饰件-黑铬,691877,实物,电镀件,外购半成品仓
302010,C236侧围装饰件-慕夜黑,691878,实物,注塑件,外购半成品仓
304002,C236喷漆装饰件-哑光银,691875,实物,喷漆件,外购半成品仓
302012,C385侧围装饰件-慕夜黑,691584,实物,注塑件,外购半成品仓
305001,HXHA PVD装饰件-左,691212,实物,PVD件,外购半成品仓
305002,HXHA PVD装饰件-右,691214,实物,PVD件,外购半成品仓
304004,HXHA喷漆件装饰件-染木红,691243,实物,喷漆件,外购半成品仓
304005,HXHA喷漆件装饰件-深黑,691250,实物,喷漆件,外购半成品仓
305003,UKEA PVD装饰件-右,691721,实物,PVD件,外购半成品仓
305004,UKEA PVD装饰件-左,691723,实物,PVD件,外购半成品仓
306001,UKEA INS装饰件,691725,实物,电镀件,外购半成品仓
304006,SC3E 喷漆装饰件 A,691604,实物,喷漆件,外购半成品仓
304007,SC3E 喷漆装饰件B-中文,691606,实物,喷漆件,外购半成品仓
304008,SC3E 喷漆装饰件C,691608,实物,喷漆件,外购半成品仓
303007,SC3E 电镀装饰件,691610,实物,电镀件,外购半成品仓
301001,SCREW 3X10螺钉,166189,实物,金属件,外购半成品仓
304009,SC3E 喷漆装饰件B-英文,691607,实物,喷漆件,外购半成品仓
304010,SA5H 喷漆装饰件 A,691775,实物,喷漆件,外购半成品仓
304011,SA5H 喷漆装饰件B,691776,实物,喷漆件,外购半成品仓
304012,SA5H 喷漆装饰件C,691777,实物,喷漆件,外购半成品仓
305005,EKEAA 夜影黑PVD装饰件-左,691800,实物,PVD件,外购半成品仓
305006,EKEAA 夜影黑PVD装饰件-右,691799,实物,PVD件,外购半成品仓
304013,EKEAA 喷漆件-哑光云迹灰,691801,实物,喷漆件,外购半成品仓
304014,SK2湍流灰装饰件-右,691885,实物,喷漆件,外购半成品仓
304015,SK2湍流灰装饰件-左,691886,实物,喷漆件,外购半成品仓
304016,SK2暮色蓝装饰件,691888,实物,喷漆件,外购半成品仓
304017,SK2哑光钛银装饰件-右,691890,实物,喷漆件,外购半成品仓
304018,SK2哑光钛银装饰件-左,691891,实物,喷漆件,外购半成品仓
303008,UKEA 电镀装饰件-右,691829,实物,电镀件,外购半成品仓
